Age,Workclass,Fnlwgt,Education,Marital_Status,Occupation,Relationship,Race,Sex,Native_Country,Income,Predicted_Income
47,2,326857,8,2,2,0,4,1,38,0, >50K
44,2,81853,11,4,11,1,1,0,38,0, <=50K
56,1,242670,15,6,0,4,4,0,38,0, <=50K
26,2,60726,15,2,2,0,2,1,38,0, <=50K
47,2,298130,11,2,11,0,4,1,38,0, >50K
32,4,197867,8,0,11,4,4,1,38,0, <=50K
54,4,179704,9,2,3,0,4,1,38,1, >50K
24,2,353010,9,4,6,1,4,1,38,0, <=50K
44,2,373050,11,2,13,0,4,1,38,0, >50K
35,2,47707,11,4,7,1,2,0,38,0, <=50K
33,2,127215,15,2,11,0,4,1,38,1, >50K
60,2,207665,11,2,12,5,4,0,38,1, <=50K
17,2,329783,0,4,11,2,4,0,38,0, <=50K
45,2,158685,11,5,11,1,4,0,38,0, <=50K
90,2,52386,15,4,7,1,1,1,38,0, <=50K
53,2,149784,9,2,9,0,4,1,38,1, >50K
41,2,110562,9,2,3,0,4,1,38,0, >50K
63,0,97855,12,2,3,0,4,1,38,1, >50K
56,2,77415,1,2,4,0,4,1,38,0, <=50K
41,2,160837,1,3,6,1,4,1,12,0, <=50K
36,4,64875,8,2,12,0,4,1,38,0, >50K
18,2,675421,6,4,5,3,4,1,38,0, <=50K
36,5,166606,11,2,10,0,4,1,38,0, >50K
43,2,129573,11,4,11,1,2,0,38,0, <=50K
18,2,343059,15,4,11,3,4,0,38,0, <=50K
34,2,509364,11,0,6,1,4,1,38,0, <=50K
32,5,117927,15,4,0,1,2,0,38,0, <=50K
54,2,183611,15,2,11,0,4,1,38,0, >50K
48,2,36503,15,2,3,0,4,1,38,1, >50K
45,2,330535,11,4,0,1,4,1,38,0, <=50K
50,2,181139,15,4,4,1,4,1,38,0, <=50K
34,2,160449,11,2,6,0,4,1,38,1, <=50K
26,2,44308,9,4,12,1,4,1,38,0, <=50K
29,1,251854,11,4,10,1,2,0,38,0, <=50K
37,2,291251,11,0,6,1,4,0,38,0, <=50K
39,4,237532,11,2,11,5,2,0,5,1, <=50K
30,2,432565,8,2,12,2,4,0,1,1, <=50K
39,3,329980,9,2,11,0,4,1,38,1, >50K
23,2,342946,1,4,13,3,4,0,38,0, <=50K
32,2,123429,0,5,2,1,4,1,38,0, <=50K
18,2,230875,1,4,0,1,4,1,38,0, <=50K
41,1,90692,11,0,9,4,1,0,38,0, <=50K
47,4,102359,9,2,3,0,4,1,38,0, >50K
18,1,134935,2,4,10,3,4,1,38,0, <=50K
35,2,101387,11,0,11,1,4,0,38,0, <=50K
22,1,123727,15,4,9,1,4,0,38,0, <=50K
46,2,174209,11,0,3,1,4,1,38,0, <=50K
19,2,446219,0,4,11,4,2,0,38,0, <=50K
28,2,203776,0,2,2,0,4,1,38,0, <=50K
77,4,145329,11,4,6,1,4,1,38,0, <=50K
32,2,195891,9,4,0,1,4,1,38,0, <=50K
23,2,241185,11,4,0,1,4,0,38,0, <=50K
19,2,196857,11,4,7,1,4,0,38,0, <=50K
23,2,334357,11,4,0,3,2,0,38,0, <=50K
27,2,147638,9,4,0,2,1,0,16,0, <=50K
31,2,163516,15,6,0,4,4,0,38,0, <=50K
26,0,206983,14,2,9,0,4,1,3,0, >50K
51,2,237735,11,2,5,0,4,1,38,1, <=50K
40,2,218903,11,0,12,4,4,0,38,0, <=50K
46,2,166003,1,2,6,0,4,1,38,0, <=50K
43,1,147328,12,2,3,0,4,1,38,1, >50K
22,2,222993,11,4,5,3,4,1,38,0, <=50K
40,2,225978,15,5,3,1,2,1,38,0, <=50K
48,2,121124,11,2,3,0,4,1,38,1, >50K
34,2,171159,15,0,0,4,4,0,38,0, <=50K
24,2,29810,11,0,11,1,4,0,38,0, <=50K
55,2,144071,9,2,12,0,4,1,38,1, >50K
27,4,300777,11,0,13,1,4,1,38,0, <=50K
30,2,255885,15,2,11,0,4,1,38,0, >50K
34,2,33945,11,0,2,1,4,1,38,0, <=50K
53,2,104413,11,6,7,4,2,0,38,0, <=50K
39,2,401832,15,2,3,0,4,1,38,0, >50K
36,2,246449,15,2,3,0,4,1,38,1, >50K
38,0,115433,7,2,0,5,4,0,38,1, >50K
28,2,334368,15,5,0,1,4,0,38,0, <=50K
45,2,270842,12,0,3,1,4,0,38,1, <=50K
71,2,235079,13,6,2,4,2,1,38,0, <=50K
64,2,148606,0,5,7,1,4,0,38,0, <=50K
42,2,200574,15,2,11,0,4,1,38,0, >50K
33,1,262042,11,0,0,3,4,0,38,0, <=50K
24,2,155818,15,4,11,3,4,0,38,0, <=50K
40,2,96055,11,5,0,4,4,0,38,0, <=50K
34,2,511361,15,4,7,3,2,1,38,0, <=50K
38,2,183279,15,2,3,0,4,1,38,1, >50K
49,3,102771,9,2,11,0,4,1,38,1, >50K
29,2,112754,15,4,2,3,4,1,38,0, <=50K
49,2,165134,8,4,3,4,4,0,3,0, <=50K
29,2,100405,0,2,4,5,0,0,38,0, <=50K
38,2,234962,11,2,5,0,4,1,25,0, <=50K
28,2,132686,11,2,5,0,4,1,38,1, <=50K
55,0,270859,9,2,9,0,4,1,38,1, >50K
21,2,231866,11,4,4,3,4,1,38,0, <=50K
27,5,28848,9,4,9,1,4,1,38,0, <=50K
61,2,123273,4,0,13,1,4,1,38,0, <=50K
43,2,55294,15,2,2,0,4,1,38,0, >50K
45,2,178319,10,2,9,0,4,1,38,1, >50K
24,5,177526,9,4,9,1,4,1,38,0, <=50K
56,0,130454,9,2,9,0,4,1,38,1, >50K
45,2,72896,11,4,6,1,4,1,38,0, <=50K
27,2,19395,15,2,5,5,4,0,38,0, <=50K
20,2,227943,11,4,5,3,4,1,38,0, <=50K
21,2,57211,11,4,2,3,4,1,38,0, <=50K
29,2,100219,7,4,6,4,4,1,38,0, <=50K
47,2,169324,9,2,3,5,2,0,38,1, >50K
41,2,149102,11,3,2,1,4,1,30,0, <=50K
26,2,187577,8,4,11,1,4,1,38,0, <=50K
27,2,192384,14,2,0,0,4,1,38,0, >50K
58,2,111169,11,0,0,1,4,0,38,0, <=50K
47,2,161676,1,4,13,1,2,1,38,0, <=50K
68,2,75913,2,6,11,1,4,0,38,0, <=50K
37,2,409189,15,2,2,0,4,1,38,0, >50K
34,2,19847,11,0,0,4,4,0,38,0, <=50K
24,2,215443,11,5,7,1,4,1,38,0, <=50K
21,2,256356,1,4,8,2,4,0,25,0, <=50K
38,2,348739,14,2,9,0,4,1,38,0, >50K
44,2,353396,9,2,9,0,4,1,38,0, >50K
39,4,174330,15,2,2,0,4,1,38,0, >50K
29,2,169815,7,2,11,0,4,1,38,1, <=50K
43,2,598606,6,5,5,4,2,0,38,0, <=50K
61,2,231323,15,2,2,0,4,1,38,0, >50K
46,3,284799,15,2,11,0,4,1,38,0, >50K
50,4,363405,9,2,12,5,4,0,38,1, >50K
38,2,111398,9,2,9,5,4,0,38,1, >50K
18,2,304169,1,4,11,3,4,1,38,0, <=50K
40,2,572751,14,2,2,0,4,1,25,1, >50K
39,4,188571,8,2,4,0,4,1,38,0, <=50K
56,2,56331,11,4,6,1,4,1,38,0, <=50K
19,2,182355,15,4,0,3,2,0,38,0, <=50K
23,2,244771,15,4,6,3,2,0,22,0, <=50K
31,2,119422,11,2,11,0,4,1,38,0, <=50K
27,2,194472,11,4,8,1,4,0,38,0, <=50K
36,2,120760,12,2,9,0,1,1,2,0, >50K
76,2,316185,5,6,10,1,4,0,38,0, <=50K
22,2,361487,11,4,2,1,4,1,38,0, <=50K
44,5,174325,12,2,9,0,2,1,38,1, >50K
33,2,274222,9,2,7,0,1,1,38,1, <=50K
47,2,84726,15,2,6,0,4,1,38,0, <=50K
23,2,40060,15,2,5,0,4,1,38,0, <=50K
27,2,588905,11,2,2,0,4,1,38,0, <=50K
29,2,31166,11,0,9,1,3,0,10,0, <=50K
38,2,296125,11,5,8,4,2,0,38,0, <=50K
28,1,154863,11,4,10,2,2,1,38,0, <=50K
40,5,119578,9,4,9,4,4,0,38,0, <=50K
80,2,87518,15,4,9,1,4,1,38,0, <=50K
66,4,212456,11,6,2,1,4,1,38,0, <=50K
40,2,181265,15,2,2,0,4,1,38,0, >50K
52,3,90363,14,2,9,0,4,1,38,1, >50K
43,5,199806,9,2,0,0,4,1,38,1, >50K
30,2,117393,11,4,11,1,4,0,38,0, <=50K
43,2,293305,9,2,11,0,4,1,38,1, >50K
54,2,22743,15,2,13,0,4,1,38,1, >50K
22,2,322674,15,4,3,3,4,1,38,0, <=50K
36,2,175759,11,0,3,4,4,1,38,0, <=50K
39,2,191807,11,2,11,0,4,1,38,1, >50K
53,2,104501,9,2,3,0,4,1,38,1, >50K
72,2,53684,15,2,10,0,2,1,38,0, <=50K
28,2,250679,11,2,2,0,4,1,38,0, <=50K
43,2,421837,15,2,6,0,4,1,25,0, <=50K
39,2,153976,15,2,2,0,4,1,38,1, >50K
48,2,96798,12,0,11,1,4,1,38,0, <=50K
59,1,236426,7,0,9,1,4,0,38,0, <=50K
40,2,404573,15,4,11,1,4,0,38,0, <=50K
35,2,227571,5,2,5,0,4,1,25,0, <=50K
40,2,184105,8,2,2,0,4,1,38,1, >50K
50,2,163708,11,6,7,4,4,0,38,0, <=50K
29,4,227890,9,4,9,1,2,1,38,0, <=50K
40,2,510072,9,2,11,0,4,1,38,1, >50K
36,4,288585,11,2,7,5,1,0,34,0, <=50K
90,2,313986,1,4,5,3,4,1,38,0, <=50K
19,2,387215,15,4,12,3,4,1,38,0, <=50K
34,2,146161,9,2,9,0,4,1,38,1, >50K
47,2,194698,11,2,13,0,4,1,38,0, >50K
25,2,186294,11,4,0,1,4,0,38,0, <=50K
41,2,221947,15,2,3,0,4,1,38,1, >50K
44,2,76196,9,2,3,0,4,1,38,0, >50K
49,2,157569,11,2,2,0,4,1,38,0, >50K
29,2,446559,7,2,3,5,4,0,38,0, >50K
50,1,169182,11,0,7,4,4,0,5,0, <=50K
49,3,289707,11,5,7,1,4,1,38,0, <=50K
63,2,154526,15,6,7,1,4,0,38,0, <=50K
21,2,452640,11,4,2,1,4,1,38,0, <=50K
34,2,119422,8,2,6,0,4,1,38,0, <=50K
30,2,58597,11,4,6,3,4,1,38,0, <=50K
33,2,145434,1,4,2,3,4,1,38,0, <=50K
26,2,182178,15,2,2,0,4,1,38,0, <=50K
41,2,57233,9,4,5,1,4,1,38,0, <=50K
46,2,59767,15,0,11,1,4,1,38,0, <=50K
49,2,204629,9,2,3,0,4,1,38,1, >50K
32,2,34104,11,2,3,0,4,1,38,1, >50K
32,2,312667,9,2,9,0,4,1,38,1, >50K
59,2,168569,11,2,6,0,4,1,38,1, <=50K
54,2,133403,15,2,6,0,4,1,38,0, >50K
34,3,186824,14,2,9,0,4,1,38,1, >50K
54,2,100933,11,4,0,4,4,0,38,0, <=50K
22,2,100345,11,4,5,3,4,1,38,0, <=50K
17,1,191910,1,4,11,3,4,1,38,0, <=50K
48,1,31264,15,2,3,5,4,0,38,1, >50K
47,2,368561,15,2,2,0,4,1,38,1, >50K
19,2,406078,15,4,0,3,4,0,38,0, <=50K
43,2,304175,12,2,9,0,4,1,38,1, >50K
38,4,357962,6,0,2,1,4,1,38,0, <=50K
54,2,146409,15,6,3,4,4,0,38,0, <=50K
40,4,230478,7,0,3,1,4,1,38,0, <=50K
19,2,246226,11,4,2,1,4,0,38,0, <=50K
22,5,48121,15,2,7,0,4,1,38,0, <=50K
59,2,370615,11,6,0,4,4,0,38,0, <=50K
49,2,149337,9,2,3,0,4,1,38,1, >50K
37,0,207887,9,0,3,2,4,0,38,0, <=50K
47,2,73064,5,2,6,5,2,0,38,0, <=50K
25,2,64671,11,0,5,3,1,0,29,0, <=50K
33,2,264936,11,0,0,2,4,0,38,0, <=50K
37,2,148015,9,2,9,5,2,0,38,1, >50K
39,2,82488,15,0,11,4,1,0,38,0, <=50K
44,2,129100,1,5,7,4,2,0,38,0, <=50K
26,2,171114,8,5,0,4,4,0,38,0, <=50K
41,2,282948,15,2,12,0,2,1,38,0, >50K
46,2,34377,7,2,2,0,4,1,38,1, >50K
17,2,262511,1,4,11,3,4,1,38,0, <=50K
40,5,91949,10,4,9,1,2,0,38,0, <=50K
35,4,120301,15,2,3,0,4,1,38,0, >50K
26,2,210812,15,0,2,1,4,1,38,0, <=50K
42,2,107762,12,2,9,0,4,1,38,1, >50K
32,0,127651,9,2,9,0,4,1,38,1, >50K
30,2,53158,7,4,12,1,4,0,38,0, <=50K
49,2,65087,12,2,3,0,4,1,38,1, >50K
41,0,83411,11,2,7,0,4,1,38,0, >50K
32,2,238944,11,2,6,0,4,1,38,0, <=50K
42,1,195124,1,0,11,4,4,1,32,1, <=50K
30,2,205204,11,4,0,3,4,0,38,0, <=50K
52,2,188644,4,3,2,2,4,1,25,0, <=50K
25,2,179462,5,4,5,4,4,1,38,0, <=50K
47,4,83064,9,2,4,0,4,1,38,0, >50K
58,2,190747,11,2,6,0,4,1,38,0, <=50K
22,2,162869,15,4,11,2,4,1,38,0, <=50K
25,2,366416,11,4,0,3,4,0,38,0, <=50K
35,2,360799,11,2,2,0,4,1,38,1, >50K
25,2,252752,15,4,9,1,4,0,38,0, <=50K
30,1,247328,15,4,0,1,4,1,38,0, <=50K
34,1,303867,6,4,7,3,4,1,38,0, <=50K
46,0,340718,1,6,0,1,4,0,38,0, <=50K
18,2,194059,2,4,0,3,4,1,38,0, <=50K
41,2,374764,9,6,3,4,4,1,38,0, <=50K
23,2,138892,11,4,6,3,2,1,38,0, <=50K
29,2,77760,11,2,0,0,4,1,38,0, <=50K
34,2,499249,11,3,5,1,4,1,12,0, <=50K
48,1,142719,12,2,9,0,4,1,38,1, >50K
44,1,202872,15,0,9,4,4,0,38,0, <=50K
27,2,198813,11,0,0,3,2,0,38,0, <=50K
21,2,321666,11,4,2,3,4,1,38,0, <=50K
35,2,170797,9,0,7,1,4,0,38,0, <=50K
53,2,127671,5,2,6,0,4,1,38,0, <=50K
53,2,121441,15,2,11,0,4,1,38,0, >50K
24,5,165201,15,2,0,5,4,0,38,0, <=50K
47,5,80914,12,2,3,0,4,1,38,1, >50K
59,0,243612,11,6,6,4,4,0,38,0, <=50K
20,2,216972,11,4,11,1,4,1,38,0, <=50K
40,2,217120,0,0,2,1,4,1,38,0, <=50K
23,2,185452,9,4,3,1,4,0,1,0, <=50K
28,2,199600,11,2,6,0,2,1,38,0, <=50K
27,2,167336,15,4,0,1,4,0,38,0, <=50K
28,2,263728,9,2,2,0,4,1,38,0, >50K
49,2,43910,11,2,0,5,4,0,38,0, <=50K
27,2,109001,15,2,2,0,4,1,38,0, <=50K
29,2,207064,11,2,2,0,4,1,38,1, <=50K
41,4,27305,11,2,4,0,4,1,38,1, >50K
26,2,229977,6,2,2,0,4,1,38,0, <=50K
41,1,175149,11,0,13,1,2,0,38,0, <=50K
43,5,144811,14,0,9,1,4,1,38,0, >50K
30,4,33308,11,4,2,1,4,1,38,0, <=50K
26,2,236068,15,4,11,2,4,0,38,0, <=50K
24,2,192017,15,2,5,0,4,1,38,0, <=50K
21,2,209483,15,4,11,3,4,0,38,0, <=50K
36,1,196529,12,2,9,5,4,0,38,1, >50K
44,2,139907,15,4,11,3,4,1,38,0, <=50K
33,2,118941,9,2,3,5,4,0,38,1, >50K
21,2,143604,15,4,11,3,4,0,38,0, <=50K
19,2,165115,11,4,11,1,4,0,38,0, <=50K
20,2,190963,15,4,3,1,4,0,38,0, <=50K
38,2,204756,11,4,11,3,4,0,38,0, <=50K
25,2,206343,11,4,10,2,4,1,38,0, <=50K
46,2,163229,5,2,13,0,4,1,38,0, <=50K
63,2,216413,9,6,0,1,4,0,38,0, <=50K
29,5,188986,8,4,12,1,4,0,38,0, <=50K
23,2,73514,11,4,0,3,1,0,39,0, <=50K
39,2,231491,11,4,5,2,4,1,38,0, <=50K
44,2,83508,14,0,9,1,4,0,38,0, <=50K
27,2,261375,9,4,0,3,2,0,38,0, <=50K
39,2,102953,9,2,11,0,4,1,38,1, >50K
47,2,184005,11,0,3,1,0,0,38,0, <=50K
41,2,151504,9,2,3,0,4,1,38,1, >50K
19,4,30800,0,3,0,4,0,0,38,0, <=50K
33,2,56701,9,2,9,0,4,1,38,1, >50K
29,2,632593,11,2,2,0,2,1,38,0, <=50K
